symbol,name,market,industry,yahoo_symbol
4807,日成-KY,TWSE,18,4807.TW
4903,聯光通,TPEx,27,4903.TWO
4904,遠傳,TWSE,27,4904.TW
4905,台聯電,TPEx,27,4905.TWO
4906,正文,TWSE,27,4906.TW
4907,富宇,TPEx,14,4907.TWO
4908,前鼎,TPEx,27,4908.TWO
4909,新復興,TPEx,27,4909.TWO
4911,德英,TPEx,22,4911.TWO
4912,聯德控股-KY,TWSE,28,4912.TW
4915,致伸,TWSE,28,4915.TW
4916,事欣科,TWSE,25,4916.TW
4919,新唐,TWSE,24,4919.TW
4923,力士,TPEx,24,4923.TWO
4924,欣厚-KY,TPEx,25,4924.TWO
4927,泰鼎-KY,TWSE,28,4927.TW
4930,燦星網,TWSE,06,4930.TW
4931,新盛力,TPEx,25,4931.TWO
4933,友輝,TPEx,26,4933.TWO
4934,太極,TWSE,26,4934.TW
4935,茂林-KY,TWSE,26,4935.TW
4938,和碩,TWSE,25,4938.TW
4939,亞電,TPEx,28,4939.TWO
4942,嘉彰,TWSE,26,4942.TW
4943,康控-KY,TWSE,28,4943.TW
4946,辣椒,TPEx,32,4946.TWO
4949,有成精密,TWSE,26,4949.TW
4950,金耘國際,TPEx,10,4950.TWO
4951,精拓科,TPEx,24,4951.TWO
4952,凌通,TWSE,24,4952.TW
4953,緯軟,TPEx,30,4953.TWO
4956,光鋐,TWSE,26,4956.TW
4958,臻鼎-KY,TWSE,28,4958.TW
4960,誠美材,TWSE,26,4960.TW
4961,天鈺,TWSE,24,4961.TW
4966,譜瑞-KY,TPEx,24,4966.TWO
4967,十銓,TWSE,24,4967.TW
4968,立積,TWSE,24,4968.TW
4971,IET-KY,TPEx,24,4971.TWO
4972,湯石照明,TPEx,26,4972.TWO
4973,廣穎電通,TPEx,24,4973.TWO
4974,亞泰,TPEx,28,4974.TWO
4976,佳凌,TWSE,26,4976.TW
4977,眾達-KY,TWSE,27,4977.TW
4979,華星光,TPEx,27,4979.TWO
4987,科誠,TPEx,25,4987.TWO
4989,榮科,TWSE,28,4989.TW
4991,環宇-KY,TPEx,24,4991.TWO
4994,傳奇,TWSE,30,4994.TW
4995,晶達,TPEx,26,4995.TWO
4999,鑫禾,TWSE,28,4999.TW
5007,三星,TWSE,10,5007.TW
5009,榮剛,TPEx,10,5009.TWO
5011,久陽,TPEx,10,5011.TWO
5013,強新,TPEx,10,5013.TWO
5014,建錩,TPEx,10,5014.TWO
5015,華祺,TPEx,10,5015.TWO
5016,松和,TPEx,10,5016.TWO
5201,凱衛,TPEx,30,5201.TWO
5202,力新,TPEx,30,5202.TWO
5203,訊連,TWSE,30,5203.TW
5205,中茂,TPEx,35,5205.TWO
5206,坤悅,TPEx,14,5206.TWO
5209,新鼎,TPEx,20,5209.TWO
5210,寶碩,TPEx,30,5210.TWO
5211,蒙恬,TPEx,30,5211.TWO
5212,凌網,TPEx,30,5212.TWO
5213,亞昕,TPEx,14,5213.TWO
5215,科嘉-KY,TWSE,25,5215.TW
5220,萬達光電,TPEx,26,5220.TWO
5222,全訊,TWSE,24,5222.TW
5223,安力-KY,TPEx,25,5223.TWO
